Ticker,Company,Index Fund
MMM,3M,US S&P 500
AOS,A. O. Smith,US S&P 500
ABT,Abbott,US S&P 500
ABBV,AbbVie,US S&P 500
ACN,Accenture,US S&P 500
ATVI,Activision Blizzard,US S&P 500
ADM,ADM,US S&P 500
ADBE,Adobe Inc.,US S&P 500
ADP,ADP,US S&P 500
AAP,Advance Auto Parts,US S&P 500
AES,AES Corporation,US S&P 500
AFL,Aflac,US S&P 500
A,Agilent Technologies,US S&P 500
APD,Air Products and Chemicals,US S&P 500
AKAM,Akamai,US S&P 500
ALK,Alaska Air Group,US S&P 500
ALB,Albemarle Corporation,US S&P 500
ARE,Alexandria Real Estate Equities,US S&P 500
ALGN,Align Technology,US S&P 500
ALLE,Allegion,US S&P 500
LNT,Alliant Energy,US S&P 500
ALL,Allstate,US S&P 500
GOOGL,Alphabet Inc. (Class A),US S&P 500
GOOG,Alphabet Inc. (Class C),US S&P 500
MO,Altria,US S&P 500
AMZN,Amazon,US S&P 500
AMCR,Amcor,US S&P 500
AMD,AMD,US S&P 500
AEE,Ameren,US S&P 500
AAL,American Airlines Group,US S&P 500
AEP,American Electric Power,US S&P 500
AXP,American Express,US S&P 500
AIG,American International Group,US S&P 500
AMT,American Tower,US S&P 500
AWK,American Water Works,US S&P 500
AMP,Ameriprise Financial,US S&P 500
ABC,AmerisourceBergen,US S&P 500
AME,Ametek,US S&P 500
AMGN,Amgen,US S&P 500
APH,Amphenol,US S&P 500
ADI,Analog Devices,US S&P 500
ANSS,Ansys,US S&P 500
AON,Aon,US S&P 500
APA,APA Corporation,US S&P 500
AAPL,Apple Inc.,US S&P 500
AMAT,Applied Materials,US S&P 500
APTV,Aptiv,US S&P 500
ACGL,Arch Capital Group,US S&P 500
ANET,Arista Networks,US S&P 500
AJG,Arthur J. Gallagher & Co.,US S&P 500
AIZ,Assurant,US S&P 500
T,AT&T,US S&P 500
ATO,Atmos Energy,US S&P 500
ADSK,Autodesk,US S&P 500
AZO,AutoZone,US S&P 500
AVB,AvalonBay Communities,US S&P 500
AVY,Avery Dennison,US S&P 500
AXON,Axon Enterprise,US S&P 500
BKR,Baker Hughes,US S&P 500
BALL,Ball Corporation,US S&P 500
BAC,Bank of America,US S&P 500
BBWI,"Bath & Body Works, Inc.",US S&P 500
BAX,Baxter International,US S&P 500
BDX,Becton Dickinson,US S&P 500
WRB,Berkley,US S&P 500
BRK.B,Berkshire Hathaway,US S&P 500
BBY,Best Buy,US S&P 500
BIO,Bio-Rad,US S&P 500
TECH,Bio-Techne,US S&P 500
BIIB,Biogen,US S&P 500
BLK,BlackRock,US S&P 500
BK,BNY Mellon,US S&P 500
BA,Boeing,US S&P 500
BKNG,Booking Holdings,US S&P 500
BWA,BorgWarner,US S&P 500
BXP,Boston Properties,US S&P 500
BSX,Boston Scientific,US S&P 500
BMY,Bristol Myers Squibb,US S&P 500
AVGO,Broadcom Inc.,US S&P 500
BR,Broadridge Financial Solutions,US S&P 500
BRO,Brown & Brown,US S&P 500
BF.B,Brown–Forman,US S&P 500
BG,Bunge Limited,US S&P 500
CHRW,C.H. Robinson,US S&P 500
CDNS,Cadence Design Systems,US S&P 500
CZR,Caesars Entertainment,US S&P 500
CPT,Camden Property Trust,US S&P 500
CPB,Campbell Soup Company,US S&P 500
COF,Capital One,US S&P 500
CAH,Cardinal Health,US S&P 500
KMX,CarMax,US S&P 500
CCL,Carnival,US S&P 500
CARR,Carrier Global,US S&P 500
CTLT,Catalent,US S&P 500
CAT,Caterpillar Inc.,US S&P 500
CBOE,Cboe Global Markets,US S&P 500
CBRE,CBRE Group,US S&P 500
CDW,CDW,US S&P 500
CE,Celanese,US S&P 500
CNC,Centene Corporation,US S&P 500
CNP,CenterPoint Energy,US S&P 500
CDAY,Ceridian,US S&P 500
CF,CF Industries,US S&P 500
CRL,Charles River Laboratories,US S&P 500
SCHW,Charles Schwab Corporation,US S&P 500
CHTR,Charter Communications,US S&P 500
CVX,Chevron Corporation,US S&P 500
CMG,Chipotle Mexican Grill,US S&P 500
CB,Chubb Limited,US S&P 500
CHD,Church & Dwight,US S&P 500
CI,Cigna,US S&P 500
CINF,Cincinnati Financial,US S&P 500
CTAS,Cintas,US S&P 500
CSCO,Cisco,US S&P 500
C,Citigroup,US S&P 500
CFG,Citizens Financial Group,US S&P 500
CLX,Clorox,US S&P 500
CME,CME Group,US S&P 500
CMS,CMS Energy,US S&P 500
KO,Coca-Cola Company (The),US S&P 500
CTSH,Cognizant,US S&P 500
CL,Colgate-Palmolive,US S&P 500
CMCSA,Comcast,US S&P 500
CMA,Comerica,US S&P 500
CAG,Conagra Brands,US S&P 500
COP,ConocoPhillips,US S&P 500
ED,Consolidated Edison,US S&P 500
STZ,Constellation Brands,US S&P 500
CEG,Constellation Energy,US S&P 500
COO,CooperCompanies,US S&P 500
CPRT,Copart,US S&P 500
GLW,Corning Inc.,US S&P 500
CTVA,Corteva,US S&P 500
CSGP,CoStar Group,US S&P 500
COST,Costco,US S&P 500
CTRA,Coterra,US S&P 500
CCI,Crown Castle,US S&P 500
CSX,CSX,US S&P 500
CMI,Cummins,US S&P 500
CVS,CVS Health,US S&P 500
DHI,D.R. Horton,US S&P 500
DHR,Danaher Corporation,US S&P 500
DRI,Darden Restaurants,US S&P 500
DVA,DaVita Inc.,US S&P 500
DE,John Deere,US S&P 500
DAL,Delta Air Lines,US S&P 500
XRAY,Dentsply Sirona,US S&P 500
DVN,Devon Energy,US S&P 500
DXCM,Dexcom,US S&P 500
FANG,Diamondback Energy,US S&P 500
DLR,Digital Realty,US S&P 500
DFS,Discover Financial,US S&P 500
DISH,Dish Network,US S&P 500
DIS,Disney,US S&P 500
DG,Dollar General,US S&P 500
DLTR,Dollar Tree,US S&P 500
D,Dominion Energy,US S&P 500
DPZ,Domino's,US S&P 500
DOV,Dover Corporation,US S&P 500
DOW,Dow Inc.,US S&P 500
DTE,DTE Energy,US S&P 500
DUK,Duke Energy,US S&P 500
DD,DuPont,US S&P 500
DXC,DXC Technology,US S&P 500
EMN,Eastman Chemical Company,US S&P 500
ETN,Eaton Corporation,US S&P 500
EBAY,eBay,US S&P 500
ECL,Ecolab,US S&P 500
EIX,Edison International,US S&P 500
EW,Edwards Lifesciences,US S&P 500
EA,Electronic Arts,US S&P 500
ELV,Elevance Health,US S&P 500
LLY,Eli Lilly and Company,US S&P 500
EMR,Emerson Electric,US S&P 500
ENPH,Enphase,US S&P 500
ETR,Entergy,US S&P 500
EOG,EOG Resources,US S&P 500
EPAM,EPAM Systems,US S&P 500
EQT,EQT,US S&P 500
EFX,Equifax,US S&P 500
EQIX,Equinix,US S&P 500
EQR,Equity Residential,US S&P 500
ESS,Essex Property Trust,US S&P 500
EL,Estée Lauder Companies (The),US S&P 500
ETSY,Etsy,US S&P 500
RE,Everest Re,US S&P 500
EVRG,Evergy,US S&P 500
ES,Eversource,US S&P 500
EXC,Exelon,US S&P 500
EXPE,Expedia Group,US S&P 500
EXPD,Expeditors International,US S&P 500
EXR,Extra Space Storage,US S&P 500
XOM,ExxonMobil,US S&P 500
FFIV,"F5, Inc.",US S&P 500
FDS,FactSet,US S&P 500
FICO,Fair Isaac,US S&P 500
FAST,Fastenal,US S&P 500
FRT,Federal Realty,US S&P 500
FDX,FedEx,US S&P 500
FITB,Fifth Third Bank,US S&P 500
FSLR,First Solar,US S&P 500
FE,FirstEnergy,US S&P 500
FIS,FIS,US S&P 500
FISV,Fiserv,US S&P 500
FLT,Fleetcor,US S&P 500
FMC,FMC Corporation,US S&P 500
F,Ford Motor Company,US S&P 500
FTNT,Fortinet,US S&P 500
FTV,Fortive,US S&P 500
FOXA,Fox Corporation (Class A),US S&P 500
FOX,Fox Corporation (Class B),US S&P 500
BEN,Franklin Templeton,US S&P 500
FCX,Freeport-McMoRan,US S&P 500
GRMN,Garmin,US S&P 500
IT,Gartner,US S&P 500
GEHC,GE HealthCare,US S&P 500
GEN,Gen Digital,US S&P 500
GNRC,Generac,US S&P 500
GD,General Dynamics,US S&P 500
GE,General Electric,US S&P 500
GIS,General Mills,US S&P 500
GM,General Motors,US S&P 500
GPC,Genuine Parts Company,US S&P 500
GILD,Gilead Sciences,US S&P 500
GL,Globe Life,US S&P 500
GPN,Global Payments,US S&P 500
GS,Goldman Sachs,US S&P 500
HAL,Halliburton,US S&P 500
HIG,Hartford (The),US S&P 500
HAS,Hasbro,US S&P 500
HCA,HCA Healthcare,US S&P 500
PEAK,Healthpeak,US S&P 500
HSIC,Henry Schein,US S&P 500
HSY,Hershey's,US S&P 500
HES,Hess Corporation,US S&P 500
HPE,Hewlett Packard Enterprise,US S&P 500
HLT,Hilton Worldwide,US S&P 500
HOLX,Hologic,US S&P 500
HD,Home Depot (The),US S&P 500
HON,Honeywell,US S&P 500
HRL,Hormel Foods,US S&P 500
HST,Host Hotels & Resorts,US S&P 500
HWM,Howmet Aerospace,US S&P 500
HPQ,HP Inc.,US S&P 500
HUM,Humana,US S&P 500
HBAN,Huntington Bancshares,US S&P 500
HII,Huntington Ingalls Industries,US S&P 500
IBM,IBM,US S&P 500
IEX,IDEX Corporation,US S&P 500
IDXX,Idexx Laboratories,US S&P 500
ITW,Illinois Tool Works,US S&P 500
ILMN,Illumina,US S&P 500
INCY,Incyte,US S&P 500
IR,Ingersoll Rand,US S&P 500
PODD,Insulet,US S&P 500
INTC,Intel,US S&P 500
ICE,Intercontinental Exchange,US S&P 500
IFF,International Flavors & Fragrances,US S&P 500
IP,International Paper,US S&P 500
IPG,Interpublic Group of Companies (The),US S&P 500
INTU,Intuit,US S&P 500
ISRG,Intuitive Surgical,US S&P 500
IVZ,Invesco,US S&P 500
INVH,Invitation Homes,US S&P 500
IQV,IQVIA,US S&P 500
IRM,Iron Mountain,US S&P 500
JBHT,J.B. Hunt,US S&P 500
JKHY,Jack Henry & Associates,US S&P 500
J,Jacobs Solutions,US S&P 500
JNJ,Johnson & Johnson,US S&P 500
JCI,Johnson Controls,US S&P 500
JPM,JPMorgan Chase,US S&P 500
JNPR,Juniper Networks,US S&P 500
K,Kellogg's,US S&P 500
KDP,Keurig Dr Pepper,US S&P 500
KEY,KeyCorp,US S&P 500
KEYS,Keysight,US S&P 500
KMB,Kimberly-Clark,US S&P 500
KIM,Kimco Realty,US S&P 500
KMI,Kinder Morgan,US S&P 500
KLAC,KLA Corporation,US S&P 500
KHC,Kraft Heinz,US S&P 500
KR,Kroger,US S&P 500
LHX,L3Harris,US S&P 500
LH,LabCorp,US S&P 500
LRCX,Lam Research,US S&P 500
LW,Lamb Weston,US S&P 500
LVS,Las Vegas Sands,US S&P 500
LDOS,Leidos,US S&P 500
LEN,Lennar,US S&P 500
LNC,Lincoln Financial,US S&P 500
LIN,Linde plc,US S&P 500
LYV,Live Nation Entertainment,US S&P 500
LKQ,LKQ Corporation,US S&P 500
LMT,Lockheed Martin,US S&P 500
L,Loews Corporation,US S&P 500
LOW,Lowe's,US S&P 500
LYB,LyondellBasell,US S&P 500
MTB,M&T Bank,US S&P 500
MRO,Marathon Oil,US S&P 500
MPC,Marathon Petroleum,US S&P 500
MKTX,MarketAxess,US S&P 500
MAR,Marriott International,US S&P 500
MMC,Marsh McLennan,US S&P 500
MLM,Martin Marietta Materials,US S&P 500
MAS,Masco,US S&P 500
MA,Mastercard,US S&P 500
MTCH,Match Group,US S&P 500
MKC,McCormick & Company,US S&P 500
MCD,McDonald's,US S&P 500
MCK,McKesson,US S&P 500
MDT,Medtronic,US S&P 500
MRK,Merck & Co.,US S&P 500
META,Meta Platforms,US S&P 500
MET,MetLife,US S&P 500
MTD,Mettler Toledo,US S&P 500
MGM,MGM Resorts,US S&P 500
MCHP,Microchip Technology,US S&P 500
MU,Micron Technology,US S&P 500
MSFT,Microsoft,US S&P 500
MAA,Mid-America Apartment Communities,US S&P 500
MRNA,Moderna,US S&P 500
MHK,Mohawk Industries,US S&P 500
MOH,Molina Healthcare,US S&P 500
